title,review,review_date,travel_date,airline,rate
Not the best always,"There are many complaints about this airline. I've taken multiple flights, both domestic and international and have seen both best and worse. Worse thing would be flight delays and not so helpful staffs and best things would be friendly helpful staffs with on time flight with nice experiences. So bottom line is, it's not really certain that what kind of service you're going to get. Though things are starting to improve recently in my experience.","Reviewed July 22, 2017 ",Date of travel: September 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Horrific,"It was of the worst experience I got in my life. Even though it was my first international flight I was not under god`s grace. I had to wait for about 20-25 minz after getting down from the delivery bus to enter the flight since nobody took over the seating and it was same like a Railway Station. The problem are the people and how they treat the flight like their own property. Using slangs in front of ladies plus inclining the seat at every sec. Plus there was half eaten peanut packets in the back seat pockets. In one word, Bad complete Bad","Reviewed July 8, 2017 ",Date of travel: June 2017,Biman_Bangladesh_Airlines,3 of 5 bubbles
Gradual Improvements - but must do better if they really aree to be taken seriously as a global airline.,"It would be fair to say that Bangladesh Biman are trying to make the sort of improvements which are needed if they are to attract a more diverse passenger group and shake off their reputation for delays and poor customer service. My flight out from LHR left 30 mins late although did arrive on time in Dhaka, via Sylhet, and overall the attitude and performance of the cabin crew were good. The return journey was quite the opposite, with delayed flight and no apology or clear announcements - disinterested cabin staff and unattractive menu. Disappointing that they cannot organise priority boarding for business class passengers. Key problem for Biman is they they simply cannot provide consistency or continuity in standards and your never entirely sure or confident about what quality and standard of journey it will prove to be. They really must have a more corporate strategy if they are ever to deliver a comparable brand and service to most other flying in/out of Dhaka. One of its strong points are the direct flight to/from LHR and good value for money on a business/executive class ticket.","Reviewed July 8, 2017 ",Date of travel: June 2017,Biman_Bangladesh_Airlines,3 of 5 bubbles
Average business class,Excellent in flight service and comfortable seat. No priority boarding and hence queue with all the economy passengers for boarding. No fast track pass for faster immigration upon arrival.,"Reviewed July 4, 2017 ",Date of travel: July 2017,Biman_Bangladesh_Airlines,3 of 5 bubbles
"The airline attendants rated a four, but overall average value for money",Although a 5 hour flight is certainly not a long one but is enough to tire one out after a hectic couple of days at Singapore. Its like your job is over you are on lower stress zone and want to get a relaxed few hours as you fly back home. Biman is in a way home in the air for Bangladeshis. The flight attendants did their best to give a good service. There was a sincere effort and I for one appreciated that. The food was regional with a choices. I am not sure which particular aircraft model we flew but the seats didnt recline as much as I would have wanted it to. For the difference in fare from Economy the quality of seats did nnot justify the fare. I would have been happier if the fare was 15% less closer to what the private sector Bangladeshi carriers charge.I would have rated 'very good' but the fare pricing reduces them to a lower value for many and therefore Average - 3 star.,"Reviewed July 2, 2017 ",Date of travel: May 2017,Biman_Bangladesh_Airlines,3 of 5 bubbles
"Loving Aircraft, Timing need improvement.","Last I traveled by this airline from Dhaka to Bangkok made two hours late departure, for which I missed my Pattaya trip on that day. In flight service is average. Food was good, smooth take off and Landing. Except timing overall not bad experience.","Reviewed June 29, 2017 ",Date of travel: November 2016,Biman_Bangladesh_Airlines,4 of 5 bubbles
On time service,"It was on time. The boarding bus was very much old and never seen this kind of bus in airlines service but for a short time it was ok. The crews did not provide us food as it was Ramadan. Only children got meal. It was also not seen before. The good this was fast boarding, on time flight and nice landing.","Reviewed June 29, 2017 ",Date of travel: June 2017,Biman_Bangladesh_Airlines,4 of 5 bubbles
"Good Aircraft, worse service","As it's the state owned airlines, I didn't expect much from this airline. Btw, the aircraft is good, but the atmosphere and service are not up to the mark. infact, bad. The interior and crews looked like 80s :D","Reviewed April 15, 2017 ",Date of travel: October 2016,Biman_Bangladesh_Airlines,4 of 5 bubbles
fear for your life!,"This airline is a joke, even the office in kathmandu seems be stuck in the 90`s, price is cheap but lack of safety, organization, nothing is really taken serious. I urge brazilians to think twice before booking them. Plane also old but at least crew were friendly.","Reviewed April 10, 2017 ",Date of travel: February 2017,Biman_Bangladesh_Airlines,2 of 5 bubbles
Worst airline ,Worst Airline ever. They delay on every flight. The whole flight was terrible it's self they are horrible to passengers I don't like this airline ,"Reviewed April 7, 2017 ",Date of travel: April 2017,Biman_Bangladesh_Airlines,2 of 5 bubbles
Awful ,Biman was delayed for 2 hours 30 minutes. When we boarded on the plane I was separated from my wife and child. The toilets were poor in heigyne. The food was revolting. The air hostess were mean. I feel like they been forced to serve us. If you ask for something they don't do anything. They don't have a smile at all at the destination you're flying to. ,"Reviewed April 7, 2017 ",Date of travel: April 2017,Biman_Bangladesh_Airlines,2 of 5 bubbles
"Even words like Terrible would be ashamed to be referred to this so called ""Airlines""",I had to travel 3 times for the past 3 years in International flights. Not a single time I have felt it has developed even 1% than last time. Negative sides of this Airlines is endless to be mentioned. It's better to withdraw International Flight facility until they come up with something better.,"Reviewed March 23, 2017 ",Date of travel: September 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
World worst loyalty program and the most incompetent management running FFP,"To begin with the FFP program of Biman Bangladesh airlines is nothing but a joke, it's FFP team members are unbelievably rude: addressing any issues they never reply with their name or designation stating it's against policy and they way they treat you as if you are working for them. The program keeps on changing its rules when even they want . Only airline in the world perhaps who requires 50000 to be in silver tier and 75000 for gold. Most interestingly they have no clear guidelines or news letters given to members about their policy or activities. No online redemption. Milage expires without any advance warning and the policy of earning Milage is one of the hardest. There are a lot to improve and learn from other carriers and must improve customer service. It's the worst in the world that is for sure. Instead of serving passengers wasting government and people's tax payers money with total incompetent FFP team. They should win one award "" The Worst FFP of the World"" ","Reviewed March 16, 2017 ",Date of travel: March 2017,Biman_Bangladesh_Airlines,1 of 5 bubbles
Staff lack integrity and thrive on corruption ,Biman has improved over the years. However there is still a long way to go. The flight from London to Sylhet was delayed. They couldn't find an aircraft. Biman had to borrow an Italian carrier with Italian staff. Some of the Bengali men were sexually harassing female flight crew. Awful. Then a mid air fight broke out between passengers. Disgraceful. We the Bangladeshi people are our own worse enemy. Flight from Bangladesh to London wasn't much better. 1st the woman on x-ray machine wanted a bribe to let our luggage through. Said she wanted money for breakfast. Then the bloke operating the metal detector in Dhaka wanted to confiscate our money as he didn't think we would be having any use of Bangladesh currency in London. Appalling behaviour for a man in uniform. Flight on the way back was good. Lots of empty spaces to stretch out. Nice modern plane with good food. Cabin crew were quite stuck up though and treated the passengers with contempt. Sadly Biman is a reflection of all that is wrong with Bangladesh. ,"Reviewed March 13, 2017 ",Date of travel: April 2016,Biman_Bangladesh_Airlines,2 of 5 bubbles
Take-off and landing was good,They have improved their services a lot. I love their take-off and landing that are so smooth. Customer service is still very poor.,"Reviewed March 8, 2017 ",Date of travel: February 2017,Biman_Bangladesh_Airlines,3 of 5 bubbles
Flight was on-time,The best thing about the flight was that it was on-time and arrived about 10 minutes early. I bought the ticket at very last moment from airport and was in a rush. One of the flight crew was very rude to everyone and seemed like not in a mood for duty. Otherwise the whole flight was very pleasant.,"Reviewed February 14, 2017 ",Date of travel: February 2017,Biman_Bangladesh_Airlines,4 of 5 bubbles
Great Pilots,"Biman is the only flight that runs direct flight from London to Bangladesh. It takes only 10 - 12 hours to reach Dhaka. I have used Biman’s International flights many times.First of all I love the take-off and landing of Biman, it is so smooth. All the Boeings are great but once due to some issues they have rented Turkish airlines and I think the size was a bit smaller than our Boeings, where at the end hours I had breathing issues. I have never called the flight attendants for any issues but all of them were fine with their regular duties.Now the bad sides - as a flight I could not find any issues but the main problems are with ourselves. We the Bangladeshi people are so manner less and stupid.People are smoking in the toilets and risking our lives, attendants are running after them. Passengers are ready with their luggages during the time of landing, they are not listening and not seating and taking out their cabin luggages what can cause serious accidents. Even after landing they start fighting that who can get off first...is it a local bus or what? That is why I always keep seated and get off when all these passengers in a hurry get off first. Our respected passengers shout for food, ask for medicines, block the alleys, and make the toilets dirty like hell. There is a big problem with the people who work for Biman. I was in Bangladesh and needed to change the date of my return flight with the mentioned fine but the officers said there is nothing left. After some requests they asked bribe and offer seats. I have to bribe them because I have to go back to London. But the funny thing is the flight was not full at all and they lied about the seats.Lastly, comfort at some points depend on you. I like to book 3 seats in a row (they have offers) though we are two. Most of the times the back seat TV does not work and you can keep some movies in your gadgets. Overall it is not great but not bad at all.","Reviewed February 13, 2017 ",Date of travel: March 2016,Biman_Bangladesh_Airlines,4 of 5 bubbles
One of the worse airlines,This air lines has a very bad attitude from their ground support staff and the way of treating people is very rude in along of no support at all and slow serviceRecommend to weight your buggage before entering and prepare extra amount ,"Reviewed January 23, 2017 ",Date of travel: January 2017,Biman_Bangladesh_Airlines,2 of 5 bubbles
Miah,"Great flight food was great comfortable seat and size cabin crew look tired overal can't complain.i would recommend this airline to any one speacily traveling to sylhet due to by road from Dhaka can take up to 8 hour, bit of extra fare you save your self lot time on road.","Reviewed January 21, 2017 ",Date of travel: September 2016,Biman_Bangladesh_Airlines,5 of 5 bubbles
Passangers are treated like animals,"8 of us booked to fly direct to Sylhet. On our return local flight BG608 took us from Sylhet to Dhaka for connecting flight next day BG001 to London Heathrow.At Sylhet there is no business class lounge. When arrived at Dhaka we were allocated hotel. We had to wait over 4 hours to be taken to hotel, Biman staff did not inform us what was happening, simply told us to go and wait.When finally arrived at hotel, the hotel was so poor, it can be classed as *0* Zero star or even less. At checkin, the staff tried to allocate us in 2 rooms (8 people). We did not accept, finally 3 rooms were given instead of 4 rooms. The rooms had no towel or hot water, Insects crawling everywhere. Food served could be eaten.All the airline passengers regardless of class where treated like animals.We paid good money for the business Class (8 people) but service was not given. I experience this service 20 years ago, sadly there is no change.Biman air staff still rude and arrogant, they do not know customer service , sadly they don’t care. also to add there is no order in boarding the plane regardless if you are a business passenger","Reviewed January 21, 2017 ",Date of travel: January 2017,Biman_Bangladesh_Airlines,1 of 5 bubbles
Premium Economy class is the way to go!,"Biman Bangladesh Airlines is rapidly improving its punctuality and the air tickets are very competitively priced. Onboard most international and long-haul flights, all ticket classes are served delectable traditional Bangladeshi cuisine that is exceptional in every way. There is an onboard menu for Business class travelers. The professional cockpit crew and friendly cabin crew are extremely courteous, helpful and hospitable. The spacious seats are very comfortable, especially in the newest planes. Passenger seats and toilets are spotlessly clean. The in-flight entertainment is on par with the best airlines in the world with plentiful touch screens everywhere – side of the seat, front of the seat and giant screens in the front aisle, which allow you to track the progress of the flight very precisely and in great detail. Biman has a good collection of Bengali films and foreign movies in its catalog. It is an excellent airline that is budget friendly and comfortable.I flew Dhaka to Dubai and it was a surprisingly good experience overall. As with all airlines from South Asia, the only problem was the large numbers of mostly uneducated menial workers (self-loading freight) that usually fill the lowest Economy seats and fly regularly to the Middle East and elsewhere. Usually they are brash and don’t miss an opportunity to be noisy, rude and loud. In order to avoid such ruckus when flying with Biman, it is best to fly Premium Economy class (also called Economy Flexible class) or choose any of the Business classes. The ticket price difference is mostly negligible.","Reviewed January 16, 2017 ",Date of travel: December 2016,Biman_Bangladesh_Airlines,5 of 5 bubbles
"Never fly in this airline,if you want to save your hard earned money.","I don't have enough words to critic them anymore, just save yourself from the trouble of ever booking a flight in this airlines.They don't have any respect for people's hard earned money or the decency to help out a passenger as an airline service. They are not well equipped and very incompetent to exist as an Airlines.I travel a lot and yes l have had my flights delayed or cancelled, but by far this is the most exhausting experience in my life","Reviewed January 12, 2017 ",Date of travel: January 2017,Biman_Bangladesh_Airlines,1 of 5 bubbles
worst airline in the world!!,"went with biman airline and it was bad experience..the plane was loud, noisy, it was like being in fish market in bangladesh..the airline should be renamed to ""bin-man"" airline..it was terrible experience..never again..","Reviewed January 10, 2017 ",Date of travel: February 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Biman has improved,I was very afraid before I had my trip to Nepal by Biman because of the reputation it earned. But i found good air craft and on time flight,"Reviewed January 7, 2017 ",Date of travel: April 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Old plane but the pilot is skilled,"Well I have travelled to Bangkok by Biman as there were no tickets available on other airlines.The Airline Ticket counter was very badly managed,the ground staff of Biman are rude and careless it took 1 hour to get my boarding card.Inside the airplane is poorly maintained ,dirty ,sting smell and the food was Chicken with fried rice,(no choice)no hard drinks and the attendent is 45 years woman other is 35 years with no smile on their face,also very rude.The toilets of the airplane is pathetic,I just opened the door and closed it ,impossible for anyone to go there.The only thing good of the Airplane is the skilled pilots with smooth flying and landing.it is real sad after so many years passed by nothing has improved.","Reviewed January 4, 2017 ",Date of travel: December 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
No choice but to use for Sylhet,Only positive is the airline goes directly to Sylhet which is useful for my my business links!Running over so many years nothing has improved from:ServiceFoodTimetable Check in serviceLuggage handlersCustoms staffMost of all you can never recommend this airline to even your enemy.By far the worst airline in the world!!!,"Reviewed December 21, 2016 ",Date of travel: September 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Its good among others in Bangladesh,"The only public airline in Bangladesh, and obviously the cheapest one. They maintain time and schedule better than before. Hospitality is also very appreciable. Suggested.","Reviewed December 20, 2016 ",Date of travel: March 2016,Biman_Bangladesh_Airlines,4 of 5 bubbles
Delaying Flight became common,"Half an hour trip with Biman from KOL to DAC or DAC to KOL is always boredom. The common issue on this route is delaying flight for nothing.My last experience on this route with Biman was so terrible, suddenly flight delayed. I supposed to reach Dhaka at 9 pm and reached after 12 am. It became a safety issues for a solo traveler. But thankfully got good service from Shahjalal airport to manage a cab to leave airport after midnight!! Damn!!And food is just ok.Expecting standard service from an International airlines in near future!","Reviewed December 11, 2016 ",Date of travel: June 2016,Biman_Bangladesh_Airlines,2 of 5 bubbles
Quite Ok,As a frequent traveler I flew many times with Biman. I found their overall service is quite ok for long distances than short. In 2014 also I traveled through this airline from DAC to KTM and experiences was ok.Thankfully no flight delayed on this route. Crews are cooperative.Food is ok beside coke/sprite type of junk drinks. Better to provide juice instead of this type of drinks which is not ok for all kinds of passengers I guess.I will expect more standard services in all routes from Biman as an International airlines.,"Reviewed December 11, 2016 ",Date of travel: November 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Service extremely poor,"Biman needs to become a passengers airline from current state of affairs of non friendly staff, pathetic service levels and horrible schedule. It does not have a service mind set and lacks basic service guidelines. Need to replace 70% staff especially cabin crews. Pilots are just great even the Planes are very good. But ground staff and cabin crew are just terrible.","Reviewed November 30, 2016 ",Date of travel: December 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Not a good one,"* Timing schedule was perfect* Food/meal was good just like other reputed international airlines* In-flight entertainment was okay (no Wi-Fi)* The aircraft was new, so it was very neat and clean* Only big issue was services of cabin crews. These old ladies' (45+ age) attitude was not good. Very reluctant to help passengers.","Reviewed November 25, 2016 ",Date of travel: August 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Pretty shocking,"Business class on Biman - quite a new plane but the cheapest possible business class seats, horrid food and pretty ordinary service.","Reviewed November 14, 2016 ",Date of travel: November 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
An Average Airline.,"I will rate it quite good even with the bad impression many have about this airline. The flight was only 15 minutes late in departure but arrived at its destination just about 10 minutes late, which is quite acceptable. The check-in was the only fault I found. It wasn't professional. The onboard, service was good, the announcements by the stewardess was good. The takeoff, landing & the flight was smooth & nice. The aircraft cabin & exterior was clean & pleasant. It was a Dash8-Q400.","Reviewed October 18, 2016 ",Date of travel: October 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
The nightmare airline,"THIS IS A NIGTMARE AIRLINES THAT SHOULD BE SHUT DOWN. Overcrowded, more poeple in the plane as seafs! Over weighted with cargo, the very old plane could barely take off. Disgusting food, none exisrant service, dirty and very loud. I felt being in the Dhaka market with bags and luguage all over the plane. Only life chicken and goats were missing to make it perfect. Safety is the less concern of this airline with seats moving with untide nuts, ecen my seat did not have a life vest! At the landing the plane needed 2 attempts and nearly went off the runway at it's very end due to poor brakes and overwright in the cargo.","Reviewed October 16, 2016 ",Date of travel: April 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Good expereince but Business Class is the only realistic option on a long haul flight!,"Have traveled previously on long haul with Biman Bangladesh, as well as domestic, and it has to be said they are at last making an effort to ensure 'Executive class' is a good experience for non Bangladeshi travellers. For me economy class would not be an option...but Executive Class is affordable with excellent wide comfortable seats on the 777/3 series with good seats with adequate length although not quite horizontal for sleeping! On board menu was reasonable and food tasty and very edible. Flight left LHR 90mins late due to technical issues but after after brief scheduled stop in Sylhet arrived in Dhaka only 50 mins late! Managed to sleep 6 hours and great advantage of this flight is non stop (no airport/plane changes) and arrived in Dhaka refreshed and feeling good. Washrooms were ok and acceptable but could be smarter! Flight and cabin crew extremely courteous and helpful. Non alcohol flight of course but overall a surprisingly good experience.","Reviewed October 16, 2016 ",Date of travel: October 2016,Biman_Bangladesh_Airlines,4 of 5 bubbles
Travel at your own risk,"I have travelled on many different airlines in my time but I have never received such poor service as I did on this flight.Business class flight (?) , I would never have known.Poor in all departments.","Reviewed October 13, 2016 ",Date of travel: December 2015,Biman_Bangladesh_Airlines,2 of 5 bubbles
Dreadful experience,"This was a replacement flight for one I should have been on yet Biman had not told me it had changed its time by 12 hours. Thus a very bad experience at Dhaka airport and then a pretty average experience for the rest of the flight. A ""couldn't care less"" attitude from the airline and six weeks on still trying to get refunded having paid for a flight that did not exist,","Reviewed October 9, 2016 ",Date of travel: August 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Not a bad flight,This is a direct flight from Dhaka to London and at present this is the only direct flight. Along with my wife we also flew to Dhaka from London by Biman since it was a direct flight too. Overall service was O.K.,"Reviewed September 28, 2016 ",Date of travel: June 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
This route has potential: Kolkata-Yangon,"My review is just about the CCU-RGN route with a plane change at Dhaka. By far, this is the most economical and efficient service/route through which you can reach Myanmar from India. Hence, I think that the route has potential since Myanmar should get a lot of Indian tourists after it has opened up.There were delays in the Kolkata-Dhaka and the Yangon-Dhaka segments. But they did deliberately delay the connecting flights at Dhaka such that passengers do not get stranded. This deliberate delay suited us more than fine. We paid about 14500 INR for each round ticket between Kolkata and Yangon. Not cheap (compared to European no frills airlines for the distance), but considerably cheaper than competition like Air India.Food was okay - I no longer look at quantity/quality parameters for food in economy flights on most airlines in the world. Who provides great food in such flights.","Reviewed September 27, 2016 ",Date of travel: July 2016,Biman_Bangladesh_Airlines,4 of 5 bubbles
Biman - decent budget airline for a short trip,"This was a short flight (2 hours) and a small plane (propeller) so there was no entertainment. Bring your own if you need it. Check-in and boarding were no problem. It actually went quite fast I thought. The box lunch was OK - appetizer (samosa type thing), cheese or chicken sandwich, cake, apple, water. My window was particularly dirty as my camera could only focus on the dirt and not the landscape outside. There was an incident concerning a 'dignitary' who was about to board and wanted the first row instead of his assigned seat in row two. However, someone was already in row one and refused to move. The flight attendant even said the passenger was in the wrong seat when clearly (I saw it) he had the boarding pass for the seat he was in. The dignitary had to sit in row two. This was poorly handled by Biman Airlines although I'm sure they were under pressure from the dignitary. Special treatment for all or for none! Other than that, Biman is a decent budget airline in my opinion.","Reviewed September 27, 2016 ",Date of travel: September 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
"Excellent flight quality, friendly staff",I flew with Biman after 22 years and was a little apprehensive. I was pleasantly surprised with the quality of service and the smoothness of the flight. The pilots in both legs of the journey were technically sound and flew us to our destination smoothly.,"Reviewed September 27, 2016 ",Date of travel: September 2016,Biman_Bangladesh_Airlines,5 of 5 bubbles
I blame myself!!!!,"Due to a recent family emergency I had to cut short a family trip. As I had not booked a return to london with any airline I thought i would give Biman a try as i last used them about 8 years ago.Lets start with groundstaff. Anyone with a biman logo on their top is useless. Any questions asked i was normally passed onto someone else equally clueless.Plane take off was delayed. No reason given, staff just blanking passengers questions. When we did eventually manage to get the plane off the ground we was given lunch consisting of bland chicken, rice and a little salad bowl. The flight was for 10 hours. Passengers given lunch and nothing else until 2 hours before landing. Tge snack in question contains a meat pate soaked in oil and a coupleof pakoras.Really not worththe effort.Air stewardesses have this air of arrogance about them. I was scared to ask for simple things like a cup of water as i was not sure what kind of response i would get.All in all I dont blame bangladesh biman. I blame myself for not choosing emirates as i normally do.If your thinking of flying biman DONT, JUST DONT!!!!","Reviewed September 11, 2016 ",Date of travel: September 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Average kind of Airlines,"Well, I heard this airbus was bigger one but unfortunately I didn't get that airbus as that was used for Hajj flight. Fortunately we got the first row of economy seats so we got a bit bigger space than other seats. But the seats are a bit small and not so comfortable.","Reviewed September 9, 2016 ",Date of travel: October 2015,Biman_Bangladesh_Airlines,3 of 5 bubbles
Budget Airlines,This is a budget airlines. Service quality is good than previous but staffs are rude. You can fly and gather experience.,"Reviewed August 27, 2016 ",Date of travel: December 2015,Biman_Bangladesh_Airlines,4 of 5 bubbles
777-300ER with IFE on a 30 minute domestic flight,"This leg of journey was even more enjoyable and comfortable than A310. Spacious legroom, 9 seats in a row compare to Emirates 10.","Reviewed August 18, 2016 ",Date of travel: February 2016,Biman_Bangladesh_Airlines,5 of 5 bubbles
Excellent value for money,"The flight was right on time for this leg of the journey,actually closed the door 2 minutes early. Biman uses A310 and Boeing 777-300er on domestic as well.","Reviewed August 18, 2016 ",Date of travel: February 2016,Biman_Bangladesh_Airlines,5 of 5 bubbles
Travel Only in desparate situation,"Biman had some terrible record for departing on time, but I must say they have improved a lot in the recent past. But if you compare with international standard flights then there are so many areas to improve- professionalism, service attitude, inflight service and amenities and cleanliness, we are hopeful of better service in the future, till then lots of catching up to do","Reviewed August 7, 2016 ",Date of travel: March 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Superb hospitality and amazing service .....,"The service was fine and also the food was awesome. The flight attendants were friendly enough. The take off and landing was also smooth, had a safe flight.","Reviewed August 4, 2016 ",Date of travel: September 2015,Biman_Bangladesh_Airlines,5 of 5 bubbles
Terrible,"Smelly cabin interior and ageing cabin attendants. Comfortable seating and leg room. Average inflight service and poor catering. They have a poor overall reputation and have possibly earned it, I have used them just twice and both flights were on time.","Reviewed August 4, 2016 ",Date of travel: April 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Excellent Aircraft but Poor Ground Handling and Staffs,"The flight was delayed by a couple of hours. Although Biman has been recently recovering from its old reputation of being always late, it still is late at times but in considerable portions. Being the national carrier, I do expect better service in terms of ground and luggage handling.I love the food they serve. In-flight attendants could be a little more careful to the passenger demands I'd say.","Reviewed August 3, 2016 ",Date of travel: September 2015,Biman_Bangladesh_Airlines,3 of 5 bubbles
"Good, timely, friendly to kids","I prefer Biman - good, clean and timely.I like the food - they are also friendly to kids.Good airlines - although many friends do complain.But I like it.","Reviewed August 3, 2016 ",Date of travel: September 2015,Biman_Bangladesh_Airlines,4 of 5 bubbles
Very good for travelling but sometime missed the schedule,"So far is a very good airlines, cleanness and food services is excellent. Sometimes schedule break but in a all is good.","Reviewed August 3, 2016 ",Date of travel: September 2015,Biman_Bangladesh_Airlines,4 of 5 bubbles
not bad. not great either.,older planes look their age but have more space compared to newer planes. newer planes have nicer interiors but are relatively cramped. food and service are just ok.,"Reviewed August 3, 2016 ",Date of travel: May 2016,Biman_Bangladesh_Airlines,4 of 5 bubbles
"Incorrect Time Schedule, Horrendous Landing, Jetbridge not opened","My Experience with Biman Bangladesh Airlines was HORRENDOUS. You would think their on-line reservation system would be correct....guess again. Someone confused AM with PM. I sent the airline several messages and was told i was wrong. I even sent them my confirmation, and they still insisted I was wrong until I took a screen shot of the airports information as to when the flight was to leave. Then they listened to me. It is a huge difference by 12 hours!When I arrived to Dhaka via Kuala Lumpur (KL) the flight had been rescheduled TWICE--read that as two days difference. I thought the flight was never going to leave which cost me additional hotel stays in KL.Once we arrived to Dhaka, no one was there to open the jetbridge. We stayed on the ramp w/o access to the main hall for 20 minutes. The guards could not find the key to open the lock. Add insult to injury, once we got through customs and to baggage, we waited for 2 HOURS. There was no one to unload the baggage onto the conveyor belt. RIDICULOUS!","Reviewed August 3, 2016 ",Date of travel: April 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Ok,Very old aircraft. Shabby interior. As the distance Was very short so a less expensive carrier will allow you to forget other short comings.,"Reviewed August 3, 2016 ",Date of travel: July 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Short Hop!,Took a short flight with Biman after a long while. It was newly acquired B737 by Biman and everything was nice and shiny. What really amazed me was that the flight was on-time and flight attendants were very welcoming & friendly which is very unusual for Biman. Hopefully Biman keep this kind of consistency of their quality & service.,"Reviewed August 3, 2016 ",Date of travel: December 2015,Biman_Bangladesh_Airlines,3 of 5 bubbles
good,The value for money is good. The flight ticket is cheap but most of the time they never fly on time.,"Reviewed July 28, 2016 ",Date of travel: August 2015,Biman_Bangladesh_Airlines,3 of 5 bubbles
Scary is an understatement!,It was almost 10:00 PM and raining quite heavily over Dhaka. The pilot approached the runway at a speed much higher than normal. The plane came down with a sharp thud (I'm aware that an abrupt landing is required during wet conditions). Then aircraft veered acutely to the right then sharply to the left. All the while the pilot was struggling to keep plane in a straight line. Thank God we did not skid out of the runway.The airline is never on time. If you have connecting planes with another airline - skip Biman Bangladesh!,"Reviewed July 28, 2016 ",Date of travel: July 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Flight was smooth because for the pilot,Flight was great but disappoint with the behavior of the cabin crew. They have no manner to talk with the passenger. Their food quality was very good. I was so happy with their food quality. Seat quality was average. Big size flight. But happy that flight was successfully landed in a time.,"Reviewed July 28, 2016 ",Date of travel: March 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Better in few routs,"I have experienced Biman's service before and it is not shareable. this time I choose them again for 3 reasons: 1. Heard about betterment of their service from a close friend and frequent flyer, 2. new air craft in Bangkok rout, 3. giving 15% discount on base price using SCB VISA card. Flight was on schedule. aircraft is new one. In flight service is OK. Will travel again.Need to improve food menu seriously.","Reviewed July 27, 2016 ",Date of travel: June 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
Pathetic experience,"Ah! what to write! i bought tickets at a lowest fare possible, ignoring the woes it broght with it! they serve snacks on board but the flight was delayed while going and coming back!.not a great experience, planes were not clean, ac ducts were full of dust","Reviewed July 27, 2016 ",Date of travel: June 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Horrible Customer Experience,First and foremost the through boarding passes were not provided even though my parents had a through ticket but luggage tag was given till Kolkata. On arrival at Kolkata realized luggage was missing and no ground staff at Kolkata could be reached. Finaly through airport staff managed to approach staff of Biman Bangladesh who were clueless and did not bother to assist my parents who are senior citizens. Flight arrived at 7:30pm and yet till almost midnight they were running from one desk to another to get assistance. Through assurance from airport manager they went to a hotel for rest for the night. Next morning they almost missed their domestic flight but managed to catch the same. Finally after 2 days managed to get in touch with Biman Bangladesh officer who was not very helpful but curtly informed that they will send the luggage. After 4 days luggage was finally received. Have sent email to airline but no response nor acknowledgment of receipt of email Also no compensation was offered for the trouble at the airport due to their negligence. Pathetic customer service and experience. Fyi food in the flight was terrible. Regret booking this airline much against the suggestions of many.,"Reviewed July 23, 2016 ",Date of travel: July 2016,Biman_Bangladesh_Airlines,1 of 5 bubbles
Biman,They are operating ATR from Kolkata ad the service is nothing special and the in flight food is normal and no in flight entertainment.,"Reviewed July 18, 2016 ",Date of travel: February 2016,Biman_Bangladesh_Airlines,3 of 5 bubbles
