title,author,author_country,datePublished,content,verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
Biman Bangladesh Airlines customer review,Matthew Taylor,,17th May 2004,"I can echo a lot of the comments already made about Biman. Our flight was delayed with no information being made available to passengers. We made stops en route that where not scheduled (at least not that WE were aware of). Due to delays we missed our connecting flight and spent Christmas day in a run down hostel with our tickets and passports taken away from us. On returning to the airport the following day we were told that our passports and tickets had been sent to the hostel - who decided not to tell us! We got them back with 5 minutes to spare! The staff are rude. Planes are falling apart (one member of our party complained that his seat would not stay upright and kept reclining - solution : ""Well don't lean back then!"". There was a strong smell of kerosene and the fascia on the emergency exit kept coming away from the door.",,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,N Hussain,,28th March 2004,I recently flew Biman Bangladesh Airlines from Bombay to Dhaka on J Class. The flight in to Mumbai from Dubai was over 2 hours late. Biman did not bother informing the passengers and repeated phone calls to Biman's Mumbai airport office went unanswered. Check-in was a nightmare without any dedicated counter for J class passengers. Once on board the cabin was extremely dirty and the toilet in the front of the plane was simply filthy. The food was sub-par for J class. Most of the passengers in the J Class cabin seemed to be Biman staff. No apologies for the delay either. Very disappointed with the service which seems to be on a downward spiral as of late.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Rebeka Boolaky,,15th March 2004,We recently flew by Biman Bangladesh with our 4 year old son and 6 month old baby - all I can say that it was an absolute nightmare from start to finish. We had requested a cot which we did not get. Met by rude unhelpful cabin crew and were in a filthy plane - on the return trip we were told that we were not on our flight because we had to re-confirm ? We are professional people with jobs to come back to not idle people who can stay for a few extra days/weeks! In Dhaka the staff were even more rude and to make things worse thay tried to make my 4 year old son sit on his own away from us - this I am sure is illegal and caused us a huge amount of stress !,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Basit Ahmed,,9th March 2004,I have flown Biman on the London-Dubai route many times. My belief is that service provided by Biman 20 or even 10 years ago was far superior to the service currently on offer. The reasons for this is that the DC-10s in use were younger at that time - cleaner and smoother. The main problems with Biman are that it has failed to modernise it's old fleet (root of all delays) failed to introduce modern in-flight entertainment (seatback videos) failed to address unprofessional hostesses failed to deal with it's corrupt booking officials and above all failed to appreciate the loyal customers which have kept it flying. I fly to Bangladesh regularly and since 1997 have been using Emirates which is truly a world class airline.,,,,,,,,,,,no,,,
Biman Bangladesh Airlines customer review,Sonya Mercado,,25th January 2004,Flew BG from Dhaka to Calcutta. The 737 (new to BG) was a filthy mess - all kinds of substances could be found on the seat pockets in J class. Legroom in J class which has a 3x3 seating was horrible. Food comprises of a box rudely thrown out at you. Dhaka airport is a nightmare and the airline hostesses just do not care.,,,,,,,,,,,no,,,
"""Price was a bit high""","8 reviews



Ziauddin Ahmed",Thailand,10th February 2020, Dhaka to Bangkok. Good service though it made delay while departing. Very good food. Staff were good. Price was a bit high when I purchased. No entertainment screen on board.,✅ Trip Verified,Boeing 737-800,Solo Leisure,Economy Class,Dhaka to Bangkok,January 2020,4.0,4.0,4.0,4.0,yes,4.0,,
"""Staff were good""",N Mahzed,Thailand,19th January 2020, Dhaka to Bangkok. Good service though it made delay while departing.. Very good food. Staff were good. Price was a bit high when I purchased. No entertainment screen on board.,✅ Trip Verified,,Solo Leisure,Economy Class,Dhaka to Bangkok,January 2020,4.0,5.0,4.0,4.0,yes,5.0,,
"""my experience was satisfactory""","5 reviews



Nafis Ahmed Raiyan",Bangladesh,5th March 2018,"Cox's Bazar to Dhaka with US-Bangla Airlines. The check-in process was smooth. The plane arrived exactly on time. But had to refuel for 15mins. We were on a full family trip. The staff was friendly and helpful. The seats were a bit tight and narrow. Food was average.  Landing was smooth. We got our baggage in time. I don't know about others, but my experience was satisfactory.",✅ Trip Verified,Boeing 737-800,Family Leisure,Economy Class,Cox's Bazar to Dhaka,February 2018,3.0,5.0,5.0,5.0,yes,4.0,,
"""very rude, very unprofessional""",Mohammed Imran Hussain,United Kingdom,18th January 2018," Sylhet to Dhaka. Absolutely awful probably the worst airline, very rude, very unprofessional, don’t know how they can be so rude towards customers. I was at Sylhet  at 11am and had a domestic flight at 2:05pm, we had to wait 5 hours. We ended up missing our international flight and they put us in a very nasty hotel.",✅ Trip Verified,,Family Leisure,Economy Class,Sylhet to Dhaka,January 2018,2.0,1.0,1.0,2.0,no,,,
"""unprofessionalism is really disgraceful""",Yasir Arafat Kabir,Bangladesh,19th November 2017, Dhaka to Jessore. It was really a bad experience when the plane started to take off and after a while there was problem with the flight’s fan or whatever there were some technical issues and then they stopped on emergency basis and later on after a while they started with the same plane though they told us to shift in a new one. After going a little further the plane again stopped at their runway due to the same problem. Then they shifted us to a new plane. The matter here is their unprofessionalism which is really disgraceful. I really would never like to fly with them again.,✅ Trip Verified,,Family Leisure,Economy Class,Dhaka to Jessore,November 2017,1.0,1.0,1.0,1.0,no,,,
"""friendly and smiley flight attendants""",Riaz Osmani,United Kingdom,23rd January 2017," Dhaka to Jessore. I find the name of this private airline in Bangladesh a bit funny. Other than that no complaints. Arrived at the domestic terminal in Dhaka 7 minutes before the scheduled morning departure due to being severely delayed due to road traffic. The check-in desk completed all formalities, rushed us through security, had a limo ready for us to escort me and my partner to the aircraft at the remote stand. The flight left after our boarding and exactly on time. I have never experienced this kind of dedication and professionalism with an airline. The flight to Jessore lasted 25 minutes onboard a clean and attractive Dash-8 Q400 and we were served a sandwich, cake and a water bottle by friendly and smiley flight attendants. The return flight to Dhaka a couple of days later was just as good but we made sure we arrived promptly for check-in this time. We were served a mini burger, cake and water bottle.",✅ Verified Review,Dash-8 Q400,Solo Leisure,Economy Class,Dhaka to Jessore,January 2017,5.0,5.0,5.0,5.0,yes,5.0,,
"""should improve their service attitude""",Roksana Chowdhury,Bangladesh,12th February 2020," Singapore to Dhaka. Flew with Regent Airways for the first time today. Is it the airline policy not to provide blankets to passengers? I thought it was a given in any airline.The staff mentioned to a male passenger it will be hot later on the plane so no need for blanket. What kind of explanation is that? Paying for ticket is also paying for the service and goods within the airline for that period of travel for usage. Also, the staff serving are not happy and don't smile.  They should improve their service attitude.",Not Verified,,Solo Leisure,Economy Class,Singapore to Dhaka,February 2020,4.0,2.0,3.0,2.0,no,2.0,,
"""Terrible experience""",M Hallana,Singapore,14th December 2019, Terrible experience with Regent Air. I booked a round trip ticket from Singapore to Dhaka. The departing flight was delayed for 4 hours without any prior notice. The return flight was canceled without minimal effort to make an alternative arrangement. The staff are rude and abusive in attitude. No sign of apology in their faces despite creating so much inconvenience.,✅ Trip Verified,,Family Leisure,Economy Class,Singapore to Dhaka,November 2019,1.0,1.0,1.0,2.0,no,,1.0,
"""have to throw out accessories""",A Ramurzan,Bangladesh,24th February 2019," Kolkata to Chattogram. Problem occurred at Boarding pass counter. Limit of my bags weight 35. It shows on boarding counter scale, but just 30 minutes ago I Traveled from Delhi to Kolkata by Air India. Ok though I agree with this. I have a hand bag of 05 kg. If the counter lady have gave me the opportunity for transferring some of my accessories to my hand bag then problem solved. Moreover do 3kg very much overweight?  I have to throw out some accessories from my bag. After then I get my boarding pass. Very nice experience.",✅ Trip Verified,,Solo Leisure,Economy Class,Kolkata to Chattogram,February 2019,2.0,2.0,1.0,3.0,no,2.0,3.0,
"""Not taking another Regent flight""",Md Boby Sabur,Bangladesh,23rd February 2019," My 11:45 am flight from Coxs Bazar to Dhaka got rescheduled twice at 2:30 pm. Then, I went to check with Regent boarding desk at 2:15 pm to know that the flight has completed boarding at Dhaka only. Which means the flight from CXB is not taking off before 3:30 or 4 pm. This made me look at Regent Airways customer reviews and holy shit the review page didn’t have a single good customer review! A strong indicator that Regent Airways Management doesn’t prioritize anything between their flight timing, customer service, and overall flying experience. Not taking another Regent flight again, and suggesting the same to my family and friends unless the service improves!",✅ Trip Verified,,Couple Leisure,Economy Class,Coxs Bazar to Dhaka,February 2019,1.0,1.0,1.0,1.0,no,1.0,,
"""mannerless attitude""",P Emery,Bangladesh,20th January 2019,Unprofessional mannerless attitude. We flew from Dhaka to Cox's Bazar at new years eve. Due to govt. Election flight was delayed 1.5 hours. But they didn’t mention that before. After sitting on the aircraft we came to know about that. We were stuck into the flight for all that time. The ground staffs behaviour was nice and professional. But the cabin crew acted like they are also some guest passengers there. Even after asking for newspaper they didn’t even bother to manage one.,✅ Trip Verified,,Couple Leisure,Economy Class,Dhaka to Cox's Bazar,January 2019,4.0,1.0,3.0,4.0,no,2.0,,
"""worst possible support staff""",S Massayan,Bangladesh,31st December 2018," Dhaka to Singapore. They have the worst possible online support staff. Standard of food, cabin crew or cleaning in the aircraft were terrible. AC inside the aircraft did not work properly.",✅ Trip Verified,,Family Leisure,Economy Class,Dhaka to Singapore,December 2018,2.0,1.0,1.0,1.0,no,2.0,1.0,
"""don't recommend on international""",F Sainal,Bangladesh,21st December 2018," 
Cox's Bazar to Dhaka. The inbound flight was delayed by more than 1 hour due to dense fog at Dhaka which delayed the aircraft to come. The check in & luggage handling was quick & they made us board the plane as soon as the incoming passengers got of. The cabin crew need to improve their communication skills as they distributed mass snacks to the entire row of passengers & let the passengers of that row distribute snacks among themselves. It may be boring doing the same work again & again, but, still, a cabin crew can easily provide a sandwich to a passenger sitting beside the window in a single aisle aircraft.  Good airlines do operate old aircraft, but, its the attitude of the cabin crew & on board product that make all the difference. I don't recommend Regent on international routes as there are so many other airlines operate out of Bangladesh with outstanding on board services like Qatar, Singapore etc.",✅ Trip Verified,Boeing 737-800,Couple Leisure,Economy Class,Cox's Bazar to Dhaka,December 2018,3.0,1.0,4.0,5.0,no,2.0,,
"""seats were good pitch""",Salman Shah,Bangladesh,18th December 2018," Dhaka to Cox's Baza. Booked a discounted ticket more than a month ago. Didn't expect too much. Just on time departure & arrival. That's what I got. Boarding & luggage handling was smooth. Cabin crew wasn't exactly cordial, but professional enough. It was a 40min ride, but the captain was able to make it bumpy despite clear weather. Cheese sandwich & cake was good enough for a shorts haul flight like this, but as expected no IFE. Aircraft was manufactured in 2001, so common for local Bangladeshi carriers. But the seats were good pitch even for a Dutch national who flew alongside me & was well over 6'. Hope for a similar experience with Regent next time.",✅ Trip Verified,Boeing 737-800 (S2-AIO),Family Leisure,Economy Class,Dhaka to Cox's Baza,December 2018,4.0,3.0,4.0,5.0,yes,3.0,,
"""It got hotter, and hotter""",S Malik,Bangladesh,25th November 2018,"As soon as I boarded the plane, it was hot. Air conditioner was not on. It got hotter, and hotter, and hotter inside the plane while all others after me boarded. That process took roughly about 40 minutes for everybody to board. Despite many people trying to cool themselves by fanning newspapers or whatever that were in their hands and requests to the crew to switch on the air conditioner, it was still not switched on. When, finally, the plane started moving, I thought the ac would now be switched on - bot no - they still would not switch it on. The plane spent 20 minutes taxiing on the tarmac before taking off. The air conditioners finally came on about 7 minutes into the flight, for a flight that only lasts 30 minutes. The same thing happened on the return, with no air conditioner on until well into the flight. This is utterly disgusting on the part of Regent Airways. I have flown on this airline before as well, and the same thing happened on those occasions as well. If Regent Airways are reading this, please increase your fares to cover the cost of fuel for keeping the ac on right from the time of boarding to keep passengers comfortable. This is obviously a cost cutting exercise in fuel costs - but this is really disgusting. I am pretty sure all those waving their newspapers and anything else to keep themselves cool would much prefer to pay a few more Taka extra for the ac to be kept on than the terrible experience they get whilst on board your flights.",✅ Trip Verified,,Solo Leisure,Economy Class,Dhaka to Kolkata,October 2018,2.0,2.0,2.0,2.0,no,1.0,,
"it was so hot on board""",B Shamol,India,27th May 2018, Kolkata to Dhaka. Yesterday we traveled with regent airways but it was so hot on board that it was unbelievable. On an airplane it is not clean and service is not good. We think next time we're not flying with Regent Airways.,✅ Trip Verified,Boeing 737-800,Couple Leisure,Economy Class,Kolkata to Dhaka,May 2018,3.0,4.0,2.0,3.0,no,1.0,,
"""our seats were not good""","5 reviews



Nafis Ahmed Raiyan",Bangladesh,24th February 2018," Dhaka to Kolkata. We were kept waiting for 15 mins due to their software problems, even in the business class queue. At last, they checked us in under special service from another counter. The flight was delayed by 2.5hrs due to heavy fog that day. But for the business class ticket, we were given a good lounge with premium food and wi-fi. So wasn't much frustrated. We were chauffeured to our aircraft in a 2006 Toyota Axio. But we were a little disappointed as despite for paying for business class, our seats were not good. The galley's wall was in front of us, so we were deprived of a lot of leg room. But suddenly, a passenger fell ill as the plane taxied to the runway for take-off. So the plane had to go back to its initial position, drop off the sick passenger in an ambulance and then returned to the runway, resulting in another 40 min delay. At last, the plane took off. The food quality (snacks), was average. Was served a hot dog, shwarma, and cake. But the seat itself was comfortable beside Window. There was no infotainment system at all, let alone wi-fi. So was a bit disappointed. Landed at Kolkata after a short 30 min flight.",✅ Trip Verified,Boeing 737-800,Family Leisure,Business Class,Dhaka to Kolkata,January 2018,3.0,5.0,4.0,4.0,yes,3.0,,
"""the seats were uncomfortable""",D Anmul,Bangladesh,8th December 2017, Singapore to Dhaka. This was my first trip in Regent Airways. Very disappointing as the seats were uncomfortable with no digital entertainment or even any magazines other then newspapers. 4 hours journey felt like a never ending one. Worse was when they gave us an meal option to choose between 2 dishes A and B. Me and my wife both chose the same type A. The steward said they ran short of the same type. When she went to the passengers right behind us she offered them both the meal types A & B.  Have I not paid the same amount as all the other passengers of Business Class.,✅ Trip Verified,RX 785,Business,Business Class,Singapore to Dhaka,December 2017,2.0,2.0,5.0,4.0,no,1.0,,
"""I would not recommend""",H Sammir,Bangladesh,24th October 2017," Dhaka to Cox's Bazar. My flight was on 17th July 2017. The flight was delayed for 45 minutes. Before starting the flight they just close the door and within 2/3 minutes inside the plane getting hot, something wrong with air-condition and air pressure was not ok, after 10/15 minutes plane was getting smoky and dark. We have been inside the terrible plane with horrible experience more than 30 minutes. They were unable to open the door for half an hour.  But it was a matter of regret that the authority didn’t contact with us by any way. I was surprised with their behavior. The aircraft condition was very poor. And the air-condition was not working properly. Stopped traveling with this airline. I would not recommend for next flight.",✅ Verified Review,,Couple Leisure,Economy Class,Dhaka to Cox's Bazar,July 2017,1.0,3.0,1.0,2.0,no,2.0,,
"""aircraft condition was old""",M Jaddin,Bangladesh,1st January 2017, Dhaka to Chittagong. The flight was delayed for 3 hrs and the staff were not telling the exact time to fly. The aircraft condition was old and the aircon was not working properly. We waited onboard the aircraft for a long time on the ground. I would not recommended for next flight. The food was okay but cold.,✅ Verified Review,,Solo Leisure,Economy Class,DAC to CCP,December 2016,2.0,3.0,1.0,1.0,no,2.0,,
"""quickly going downhill""",H Jenkins,Bangladesh,7th October 2016," Chittagong to Dhaka with Regent Airways. A moderately good airline that is quickly going downhill. I fly the Regent domestic route (Chittagong to Dhaka) 5 to 10 times a year for business and international routes (Dhaka - Bangkok and Dhaka - Kuala Lumpur) typically three times a year. Regent used to be my go-to option to avoid the national joke that is Biman Airlines, but over the past year, Regent's reliability with domestic flights has gone significantly downhill, with consistently late flights and a frequently chaotic check-in process to get a boarding pass. Regent now offers consistent delays of 30 - 90 minutes for a routine daily domestic flight and staff who open the ticketing counter 20 minutes before the flight's takeoff time and then rush passengers along as if it's their fault. Flight delays because of weather or other unavoidable circumstances are understandable, but when it's due to poor planning or airline staff just showing up late, it's absurd. I've emailed Regent directly using their online customer service form and, of course, haven't received any response.",✅ Verified Review,,Solo Leisure,Economy Class,CGP to DAC,October 2016,4.0,4.0,1.0,3.0,no,3.0,,
"""nothing but praise""",Peter Ingram,Australia,15th September 2016," This is the second time I have flown with Regent Airways from Bangkok to Chittagong return. Nothing but praise from on line booking to great flight attendants. The food is ok - plenty of drinks (dry airline). On the return trip the purser was a fantastic guy, and all the other staff were friendly and helpful as well. This is the only direct flight from Bangkok to Chittagong.",✅ Verified Review,Boeing 737-700,Solo Leisure,Business Class,BKK to CGP,September 2016,5.0,5.0,4.0,5.0,yes,5.0,,
"""cabin crew were marvellous""",Peter Ingram,Australia,5th February 2016,"Traveled Regent Airways, Business Class from Bangkok to Chittagong and return. Flew to Chittagong on the 21st January, service was absolutely brilliant and cabin crew were marvellous. Food was delicious. Return was the same with a great crew (two of the crew remembered me from the previous trip), great comfort and food. All flights were on time. Comfortable seating in Business Class as well. Would recommend this airline as it is the quickest connection from Bangkok to Chittagong without going to Dhaka.",,Boeing 737,Solo Leisure,Business Class,BKK to CGP,January 2016,5.0,5.0,5.0,5.0,yes,5.0,,
"""overall value for money""",N Morshed,Singapore,19th January 2016,"Dhaka to Singapore with Regent Airways. The check-in was smooth at Dhaka, better than my other check-in experiences at Dhaka.  The aircraft was a Boeing 737-700 which showed signs of aging. The interior needs refurbishment. The meal could have been better. The cabin crew was quite helpful and nice. There is no IFE in the cabin and difficult to kill time. Overall value for money.",,Boeing 737-700,Solo Leisure,Economy Class,DAC to SIN,January 2016,3.0,4.0,4.0,4.0,yes,3.0,,
Regent Airways customer review,S Walker,Bangladesh,29th January 2014,I have flown with Regent a couple of times between Dhaka and Chittagong and Cox's Bazar and in general have found them to be OK although the air conditioning on their Dash 8 aircraft frequently doesn't work. However more recently I have twice flown with Regent on their new 737-400 aircraft fro Dhaka to Bangkok. However when they say new this actually means new for them as both aircraft are leased from other airlines and are actually starting to show signs of age. Only one of them has an onboard entertainment system which didn't work when I was on board and the other (seemingly older) aircraft actually still has ash trays in the arm rests which have been taped up to stop people from using them but on a lot of the seats the ash trays have been removed leaving a rather sharp and dangerous metal edge on the end of the arm rest. On my last trip from BK back to Dhaka the Pilot went AWOL and so were almost 2 hours late leaving BK. The meals on board are very typically Bangladesh and not good and of course you cannot get an alcoholic drink on board. The tea and coffee is also pretty bad. The FA's are for the most part friendly enough but efficiency is not their highpoint. However despite their shortcomings their prices are very good.,,,,Economy Class,,,,,,4.0,yes,,,
Regent Airways customer review,B Uddin,United Kingdom,29th November 2012,Excellent round-trip between DAC-ZYL recently. Booked my tickets online in UK and everything worked well without the need to re-confirm tickets etc. I will certainly use this airline again in future.,,,,Economy Class,,,,,,4.0,yes,,,
Regent Airways customer review,Riaz Osmani,United Kingdom,24th June 2012,Cox's Bazar to Dhaka non-stop and one hour flight on a Bombardier Dash-8-Q300 on June 12. Excellent webpage meant was able to purchase domestic Bangladeshi flights from the UK using a UK debit card. Customer service personnel in Dhaka very helpful over the phone when requested confirmed itinerary resent via email. Check-in a breeze. Nice cabin interior and smartly turned out FAs provided snacks and beverages. Flight left on time and arrived the same.,,,,Economy Class,,,,,,4.0,yes,,,
Regent Airways customer review,M Rahman,United Kingdom,25th November 2010,DAC-CGP. Online booking available. On arrival at the domestic airport a Regent Airways porter carries your luggage to check in desk. Polite greeting from check in staff who handled process very efficiently enquiring about seat preference. Bussed to the a/c on air conditioned buses. Cabin crew polite and well groomed in their dark grey suits. Clean cabin good seat pitch and comfortable seats. The 30 minute flight includes a snack service consisting of a snack box and a soft drink. Punctual landing and baggage on the belt within 10 minutes of landing. Excellent flight overall.,,,,Economy Class,,,,,,4.0,yes,,,
"""Worse airline ever""",M Haq,Canada,16th January 2020,"Saidpur to Dhaka. Worse airline ever. Late of 4 hours resulted in me almost missing my international flight. While I ask the staff at the desk about the schedule, they were not helpful, somehow rude, never informed me on the late schedule.",Not Verified,,Family Leisure,Economy Class,Saidpur to Dhaka,December 2019,2.0,3.0,1.0,2.0,no,3.0,1.0,1.0
"""Not a bad airline!""","26 reviews



Gyan Fernando",United Kingdom,1st November 2019, Jashore to Dhaka. A not well-known domestic airline in Bangladesh. The flight was late but we did get to our destination in a straight flight with no circling around. Being a short flight the cabin service was basic but adequate. Not a bad airline!,✅ Trip Verified,ATR 72-500,Solo Leisure,Economy Class,Jashore to Dhaka,October 2019,4.0,4.0,3.0,4.0,yes,3.0,,
